,name,link,city
0,Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/,Birmingham
1,Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/,Dothan
2,Huntsville Gem and Mineral Society,http://huntsvillegms.org/,Huntsville
3,Mobile Rock & Gem Society,http://www.mobilerockandgem.com/,Mobile
4,Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/,Montgomery
5,Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/,Anchorage
6,Mat-Su Rock and Mineral Club,http://matsurockclub.com/,Palmer
7,Apache Junction Rock and Gem Club,http://www.ajrockclub.com/,Apache Junction
8,Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/,Black Canyon City
9,Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/,Anthem
10,Gila County Gem & Mineral Society,http://gilagem.org/,Miami
11,Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/,Sierra Vista
12,Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/,Lake Havasu City
13,Mineralogical Society of Arizona,http://www.msaaz.org/,Scottsdale
14,Mingus Gem & Mineral Club,http://www.mingusclub.org/,Cottonwood
15,Mohave County Gemstoners,http://www.gemstoners.org/,Kingman
16,Old Pueblo Lapidary Club,http://www.lapidaryclub.org/,Tucson
17,Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/,Prescott Valley
18,Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/,Quartzsite
19,Rockhounds West,http://rockhounds.scwclubs.com/,Phoenix
20,Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/,Sedona
21,Silvery Colorado River Rock Club,http://scrrc.blogspot.com/,Bullhead City
22,Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/,Pearce
23,Tucson Gem and Mineral Society,http://www.tgms.org/,Tucson
24,Verde River Rockhounds,http://www.verderiverrockhounds.com/,Cottonwood
25,West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/,Buckeye
26,White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/,Show Low
27,Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/,Wickenburg
28,"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/,Little Rock
29,Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/,Siloam Springs
30,"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/,Mountain Home
31,Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/,Sutter Creek
32,American Opal Society,http://www.opalsociety.org/,Anaheim
33,Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/,Lancaster
34,Antioch Lapidary Club,http://www.antiochlapidaryclub.com/,Antioch
35,Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html,Borrego Springs
36,Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/,Angels Camp
37,Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/,Pacific Grove
38,Central Coast Treasure Hunters Association,http://www.cctha.org/,San Luis Obispo
39,Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/,Coalinga
40,Conejo Gem & Mineral Club,http://www.cgamc.org/,Thousand Oaks
41,Contra Costa Mineral & Gem Society,http://www.ccmgs.org/,Concord
42,The Culver City Rock and Mineral Club,http://culvercityrocks.org/,Culver City
43,Del Air Rockhounds Club,http://delairrockhounds.blogspot.com/,Northridge
44,Delvers Gem & Mineral Society,https://delversgemclub.wordpress.com/,Bellflower
45,El Cajon Valley Gem & Mineral Society,http://www.ecvgms.org/,El Cajon
46,El Dorado County Mineral and Gem Society,http://www.eldoradomineralandgem.org/,Placerville
47,Faceters Guild of Southern California,http://www.fgosc.com/,Buena Park
48,"Fallbrook Gem and Mineral Society, Inc.",http://www.fgms.org/FGMS/Home.html,Fallbrook
49,Feather River Lapidary & Mineral Society,http://www.featherriverrocks.org/,Oroville
50,First Class Miners,http://www.firstclassminers.org/,Yucca Valley
51,"Fossils for Fun Society, Inc.",https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/,North Highlands
52,Fresno Gem & Mineral Society,http://fgms.us/,Fresno
53,Gold Country Treasure Seekers,https://goldcountrytreasureseekers.shutterfly.com/,Placerville
54,Hi-Desert Rockhounds of Morongo Valley,http://www.hi-desertrockhounds.org/,Yucca Valley
55,Indian Wells Valley Gem & Mineral Society,http://indianwells.weebly.com/,Ridgecrest
56,Kern County Mineral Society,http://kerncountymineralsociety.org/,Bakersfield
57,Lemoore Gem and Mineral Club,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/,Lemoore
58,Livermore Valley Lithophiles,http://www.lithophiles.com/,Livermore
59,Line Pine Gem & Mieral Society,http://lpgms.org/,Lone Pine
60,Mariposa Gem & Mineral Club,http://mariposagmc.org/,Mariposa
