artist,name,rank
Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1
Billie Eilish,Bad Guy,2
Khalid,Talk,3
Jonas Brothers,Sucker,4
Ed Sheeran & Justin Bieber,I Don't Care,5
Post Malone,Wow.,6
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),7
DaBaby,Suge,8
Chris Brown Featuring Drake,No Guidance,9
Sam Smith & Normani,Dancing With A Stranger,10
Polo G Featuring Lil Tjay,Pop Out,11
Shawn Mendes,If I Can't Have You,12
Ava Max,Sweet But Psycho,13
Taylor Swift Featuring Brendon Urie,ME!,14
Halsey,Without Me,15
Ariana Grande,7 Rings,16
Lizzo,Truth Hurts,17
Marshmello & Bastille,Happier,18
Blake Shelton,God's Country,19
Morgan Wallen,Whiskey Glasses,20
Panic! At The Disco,High Hopes,21
Luke Combs,Beer Never Broke My Heart,22
Daddy Yankee & Katy Perry Featuring Snow,Con Calma,23
"Young Thug, J. Cole & Travis Scott",The London,24
J. Cole,Middle Child,25
City Girls,Act Up,26
"benny blanco, Halsey & Khalid",Eastside,27
Katy Perry,Never Really Over,28
Mustard & Migos,Pure Water,29
"Tyler, The Creator",Earfquake,30
Panic! At The Disco,"Hey Look Ma, I Made It",31
Meek Mill Featuring Drake,Going Bad,32
Dan + Shay,Speechless,33
Lady Gaga & Bradley Cooper,Shallow,34
Khalid,Better,35
Lee Brice,Rumor,36
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",37
Travis Scott,Sicko Mode,38
Thomas Rhett,Look What God Gave Her,39
A Boogie Wit da Hoodie,Look Back At It,40
Calboy,Envy Me,41
Billie Eilish,When The Party's Over,42
Halsey,Nightmare,43
Jonas Brothers,Cool,44
Luke Combs,Beautiful Crazy,45
Kane Brown,Good As You,46
Cardi B,Press,47
Lil Baby,Close Friends,48
Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,49
"YG, Tyga & Jon Z",Go Loko,50
Cardi B & Bruno Mars,Please Me,51
Brett Eldredge,Love Someone,52
Offset Featuring Cardi B,Clout,53
YK Osiris,Worth It,54
Lewis Capaldi,Someone You Loved,55
Kelsea Ballerini,Miss Me More,56
P!nk,Walk Me Home,57
Billie Eilish,Bury A Friend,58
Maren Morris,GIRL,59
DJ Khaled Featuring SZA,Just Us,60
Luke Bryan,Knockin' Boots,61
Luke Combs,Even Though I'm Leaving,62
5 Seconds Of Summer,Easier,63
Summer Walker X Drake,Girls Need Love,64
Lil Tecca,Ran$om,65
Blanco Brown,The Git Up,66
Meek Mill Featuring Ella Mai,24/7,67
Jason Aldean,Rearview Town,68
Bad Bunny & Tainy,Callaita,69
DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,70
Dan + Shay,All To Myself,71
Chase Rice,Eyes On You,72
Beyonce,Before I Let Go,73
Eric Church,Some Of It,74
Marshmello Featuring CHVRCHES,Here With Me,75
Lil Uzi Vert,Sanguine Paradise,76
"Lunay, Daddy Yankee & Bad Bunny",Soltera,77
Florida Georgia Line,Talk You Out Of It,78
Yo Gotti Featuring Lil Baby,Put A Date On It,79
Eli Young Band,Love Ain't,80
NLE Choppa,Shotta Flow,81
Pedro Capo X Farruko,Calma,82
Avicii,Heaven,83
The Chainsmokers & Bebe Rexha,Call You Mine,84
Billie Eilish,Ocean Eyes,85
Megan Thee Stallion,Big Ole Freak,86
Future,Please Tell Me,87
Cody Johnson,On My Way To You,88
SHAED,Trampoline,89
Chris Young,Raised On Country,90
Nicky Jam X Ozuna,Te Robare,91
Ozuna,Amor Genuino,92
Jonas Brothers,Only Human,93
"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,94
Bryce Vine Featuring YG,La La Land,95
Juice WRLD,Robbery,96
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,97
Future,XanaX Damage,98
Future,Government Official,99
Sech Featuring Darell,Otro Trago,100
