make_again,name,rating,slug,summary,tag
100%,"Apples, Potatoes, and Bacon",4,/recipes/food/views/apples-potatoes-and-bacon,"This dinner is a fry-up, of sorts. The smell of apples and smoked bacon frying on a damp day brings everyone into the kitchen, plate in hand.",recipe
0%,Cheesy Loaded Sweet Potatoes,0,/recipes/food/views/cheesy-loaded-sweet-potatoes,"For a quick 15-minute dinner, you can steam the potatoes up to five days in advance. Serve with lots of fixings for an easy variation on the taco bar concept.",recipe
95%,Corned Beef with Crispy Potatoes and Cabbage,4,/recipes/food/views/corned-beef-with-crispy-roasted-potatoes-and-cabbage,"This update of the classic corned beef dinner nixes boring, boiled sides in favor of extra-crispy roasted cabbage and potato wedges and a vibrant, seedy dressing.",recipe
67%,Sunday Stash Sweet Potatoes,3,/recipes/food/views/sunday-stash-sweet-potatoes,This simple preparation of sweet potatoes can become the base for many lunches and weeknight meals.,recipe
100%,Make-Ahead Mashed Potatoes,4,/recipes/food/views/make-ahead-mashed-potatoes,You can make and chill these mashed potatoes up to two days before the big night.,recipe
100%,Dinner Salad with Radicchio and Roasted Sweet Potatoes,4,/recipes/food/views/dinner-salad-with-radicchio-and-roasted-sweet-potatoes,"Eggs and roasted sweet potatoes make this salad a full meal, not a sidekick. Feel free to swap in whatever protein and roasted vegetables you may have on hand.",recipe
0%,Chile-and-Citrus–Rubbed Chicken with Potatoes,0,/recipes/food/views/chile-and-citrus-rubbed-chicken-with-potatoes,Letting a roast chicken sit for up to 45 minutes helps prevent the juices from running out of the meat as soon as you slice into it.,recipe
100%,Shingled Sweet Potatoes with Harissa,3.5,/recipes/food/views/shingled-sweet-potatoes-with-harissa,Harissa lends both a spiciness and an earthiness to this savory sweet potato dish. We promise you won’t miss the marshmallows.,recipe
100%,Sweet Potatoes with Spiced Lamb and Mushrooms,4,/recipes/food/views/sweet-potato-bowls-with-spiced-lamb-and-mushrooms,Halved sweet potatoes steam in the time it takes to sauté mushrooms and ground lamb with a heap of fragrant spices. Crisp shaved veg and a simple yogurt sauce round it out for your new go-to weeknight dinner.,recipe
100%,Papas con Rajas,4,/recipes/food/views/potatoes-roasted-poblano-chiles-mexican-sour-cream-papas-con-rajas-y-crema-acida,"This combination of roasted poblano chiles, cubed boiled potatoes, onions, and crema, cooked into a savory concoction makes a divine vegetarian taco filling.",recipe
87%,Buddha Bowl with Roasted Sweet Potatoes,3.5,/recipes/food/views/buddha-bowl-with-roasted-sweet-potatoes-spiced-chickpeas-and-chard,"Composed of four elements—vegetables, a grain, a protein, and a sauce—Buddha bowls like this one are simple, nutrient-dense, and very pretty to serve.",recipe
,"How to Buy, Store, and Cook Potatoes",,/ingredients/how-to-buy-and-store-potatoes-like-a-pro-article,"Like a latke-frying, gratin-layering, roasting, smashing, mashing pro.",article
,Weekly Meal Plan: February 11–15,,/recipes-menus/weekly-meal-plan-sweet-potatoes-three-ways-garlicky-chicken-and-easy-pasta-article,"Sweet potatoes three ways, garlicky chicken, and easy pasta.",article
,Become a Mashed Potato Champion,,/expert-advice/best-way-to-make-mashed-potatoes-for-thanksgiving-article,Did your mash look like spackle last year? Let's fix that.,article
,101 Ways to Cook a Potato,,/ingredients/potatoes-every-which-way-gallery,"Baked, boiled, mashed or fried, the epic potato never disappoints.",gallery
,The British Trick to Boiling Potatoes in Half the Time,,/expert-advice/how-to-boil-potatoes-faster-article,They've got it all figured out over there.,article
,How to Turn 1 Batch of Sweet Potatoes Into 9 Meals,,/expert-advice/sunday-stash-1-batch-of-sweet-potatoes-9-family-meals-article,"A big batch of roasted, halved sweet potatoes can be transformed into healthy, creative family meals all week long.",article
